STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
ZZ GWILLIM,,,FALSE,NA,NA,NA,NA,NA
ZZ HASSLER,,,FALSE,NA,NA,NA,NA,NA
ZZ HOWARD,,,FALSE,NA,NA,NA,NA,NA
ZZ INKANEEP EXT,,,FALSE,NA,NA,NA,NA,NA
ZZ IRISH CREEK QD,,,FALSE,NA,NA,NA,NA,NA
ZZ K50615 QD,,,FALSE,NA,NA,NA,NA,NA
ZZ LITTLE FORT TEMP,,,FALSE,NA,NA,NA,NA,NA
ZZ MOMICH LAKE QD,,,FALSE,NA,NA,NA,NA,NA
ZZ NARROWS INLET,,,FALSE,NA,NA,NA,NA,NA
ZZ OCTOPUS MOUNTAIN PC,,,FALSE,NA,NA,NA,NA,NA
ZZ ORFORD RIVER TEMP,,,FALSE,NA,NA,NA,NA,NA
ZZ QD 3 VALLEY GAP,,,FALSE,NA,NA,NA,NA,NA
ZZ QD BUNTING ROAD,,,FALSE,NA,NA,NA,NA,NA
ZZ QD EMBLETON,,,FALSE,NA,NA,NA,NA,NA
ZZ QUARTZ LAKE QD,,,FALSE,NA,NA,NA,NA,NA
ZZ REARGUARD,,,FALSE,NA,NA,NA,NA,NA
ZZ SALTSPRING 3,,,FALSE,NA,NA,NA,NA,NA
ZZ SHACKAN QD,,,FALSE,NA,NA,NA,NA,NA
ZZ SKOOKUM CREEK,,,FALSE,NA,NA,NA,NA,NA
ZZ SMITH RIVER,,,FALSE,NA,NA,NA,NA,NA
ZZ STATION BAY,,,FALSE,NA,NA,NA,NA,NA
ZZ STINKY QD,,,FALSE,NA,NA,NA,NA,NA
ZZ WILLIS EXT,,,FALSE,NA,NA,NA,NA,NA
ZZ YELLOWHEAD,,,FALSE,NA,NA,NA,NA,NA
ZZSALMON ARM,,,FALSE,NA,NA,NA,NA,NA
QD #1,68a4d5acbd48a62845887717,Quick Deploy,TRUE,50.70657,-120.4498,,NA,NA
QD #2,68a4d6a3a1ed9944730c873b,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #3,67742f5f15eb8a4137b42bdc,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #4,66c8b19800e01a5a0ce791c6,Quick Deploy,TRUE,59.4849,-122.8272,,NA,NA
QD #5,66c8b20600e01a5a0ce791c7,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #6,66c8b25999a271067ca51c71,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #7,66c8b2a399a271067ca51c72,Quick Deploy,TRUE,49.018,-115.0922,,NA,NA
QD #8,,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #9,68a4dae4a1ed9944730c873c,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #10,68a4db5cbd48a62845887718,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #11,68a4dbcfa1ed9944730c873d,Quick Deploy,TRUE,55.3361,-128.0352,,NA,NA
QD #12,68a4dc46bd48a62845887719,Quick Deploy,TRUE,NA,NA,NA,NA,NA
QD #13,68a4c57da1ed9944730c873a,Quick Deploy,TRUE,58.21,-122.0,,NA,NA
QD #14,68a4dcefbd48a6284588771a,Quick Deploy,TRUE,49.29,-124.57,,NA,NA
QD #15,68a4dd5ba1ed9944730c873f,Quick Deploy,TRUE,58.66,-124.18,,NA,NA
QD #16,68a4ddbfa1ed9944730c8740,Quick Deploy,TRUE,53.0928,-124.842917,1352,NA,NA
QD #17,68a4de1da1ed9944730c8741,Quick Deploy,TRUE,54.64,-127.98,,NA,NA
QD #18,68a4de7aa1ed9944730c8742,Quick Deploy,TRUE,59.8,-122.66,,NA,NA
QD #19,68a4dedfa1ed9944730c8743,Quick Deploy,TRUE,51.2145,-122.2622,1602,NA,NA
QD #20,68a4df35a1ed9944730c8744,Quick Deploy,TRUE,NA,NA,NA,NA,NA
