STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
PADDY,66c8fcc699a271067ca51c77,Prince George Fire Centre,TRUE,57.7818,-120.2368,722,121,Fort St. John
PALLISER,173.181.139.55:48050;0x01A1-0x048B-0x019B,Southeast Fire Centre,TRUE,50.49449,-115.66647,1053,411,Invermere
PARROTT,688a377cbd48a628458876dd,Northwest Fire Centre,TRUE,54.01862,-126.388961,,183,Nadina
PASKA LAKE,96.1.70.251:48006;0x0141-0x0146,Kamloops Fire Centre,TRUE,50.504,-120.674,,326,Kamloops
PEDEN,687e6620a1ed9944730c8705,Northwest Fire Centre,TRUE,53.9868,-126.5174,747,178,Nadina
PEMBERTON BASE,96.1.101.51:48043,Coastal Fire Centre,TRUE,50.3059333,-122.7287833,204,301,Pemberton
PENDOREILLE,66a9231799a271067ca51c15,Southeast Fire Centre,TRUE,49.0506,-117.4138,731,402,Kootenay
PENTICTON RS,173.181.134.133:48056,Kamloops Fire Centre,TRUE,49.517258,-119.552604,427,328,Penticton
PERSEVERANCE,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
PINE CREEK,66b547f900e01a5a0ce79191,Northwest Fire Centre,TRUE,54.683,-127.3234,,938,Bulkley
PINK MOUNTAIN,66c8fe5500e01a5a0ce791cd,Prince George Fire Centre,TRUE,57.0874,-122.5912,989,129,Fort St. John
PLACE LAKE,173.181.139.84:48055;0x0396-0x03FE-0x00FF,Cariboo Fire Centre,TRUE,51.818225,-122.005569,1051,212,Central Cariboo
PLUMMER HUT,66c8ff2c00e01a5a0ce791ce,Cariboo Fire Centre,TRUE,51.3735,-125.1645,,1387,Chilcotin
POWDER CREEK,96.1.70.191:48002;0x025A-0x14E1,Southeast Fire Centre,TRUE,49.9065,-116.8551,937,380,Kootenay
POWELL RIVER WEST LAKE,66a80d0e99a271067ca51c01,Coastal Fire Centre,TRUE,49.8180167,-124.4498666,160,1218,Sunshine Coast
PRAIRIE CREEK,66a80a1a99a271067ca51bfe,Cariboo Fire Centre,TRUE,52.3916667,-120.985,,264,Central Cariboo
QD 1 BURGESS CREEK,,,FALSE,NA,NA,NA,NA,NA
QD 1 RACE TRACK,,,FALSE,NA,NA,NA,NA,NA
QD 11 DAM,,,FALSE,NA,NA,NA,NA,NA
QD 12 HAT CREEK,,,FALSE,NA,NA,NA,NA,NA
QD 12 SQUAMISH,,,FALSE,NA,NA,NA,NA,NA
QD 13 ESKETM,,,FALSE,NA,NA,NA,NA,NA
QD 13 FONTAS,,,FALSE,NA,NA,NA,NA,NA
QD 15 JACK OF CLUBS,,,FALSE,NA,NA,NA,NA,NA
QD 16 PATRY CREEK,,,FALSE,NA,NA,NA,NA,NA
QD 16 TSACHA LAKE,68a4ddbfa1ed9944730c8740,,FALSE,53.0928,-124.842917,1352,NA,NA
QD 18 COLES ROAD,,,FALSE,NA,NA,NA,NA,NA
QD 18 DIPPING,,,FALSE,NA,NA,NA,NA,NA
QD 18 POCKETKNIFE,,,FALSE,NA,NA,NA,NA,NA
QD 19 PASAYTEN,,,FALSE,NA,NA,NA,NA,NA
QD 19 UNDERWOOD,,,FALSE,NA,NA,NA,NA,NA
QD 20 NORTH CREEK,,,FALSE,NA,NA,NA,NA,NA
QD 4 MACDOUGALL CREEK,,,FALSE,NA,NA,NA,NA,NA
QD 4 WINDFLOWER,,,FALSE,NA,NA,NA,NA,NA
QD 5 CRIPPLE,,,FALSE,NA,NA,NA,NA,NA
QD 5 KISKATINAW,,,FALSE,NA,NA,NA,NA,NA
QD 6 CANTILEVER,,,FALSE,NA,NA,NA,NA,NA
QD 6 TILLICUM,,,FALSE,NA,NA,NA,NA,NA
QD 8 NEMIAH VALLEY LODGE,,,FALSE,NA,NA,NA,NA,NA
QD 8 SIWASH,,,FALSE,NA,NA,NA,NA,NA
QD BEAR CREEK,,,FALSE,NA,NA,NA,NA,NA
QD BIRKENHEAD,,,FALSE,NA,NA,NA,NA,NA
QD DHAUL,,,FALSE,NA,NA,NA,NA,NA
QD EAST OF BURTON,,,FALSE,NA,NA,NA,NA,NA
